match_id,season_id,division,group_id,player_a_id,player_b_id,score_a,score_b,winner_id,score_model
2005-s1-single-GA-0-1,2005-s1,single,2005-s1-single-GA,P0027,P0141,7,3,P0027,set-scores
2005-s1-single-GA-0-2,2005-s1,single,2005-s1-single-GA,P0027,P0082,6,4,P0027,set-scores
2005-s1-single-GA-0-3,2005-s1,single,2005-s1-single-GA,P0027,P0131,9,1,P0027,set-scores
2005-s1-single-GA-0-4,2005-s1,single,2005-s1-single-GA,P0027,P0014,8,2,P0027,set-scores
2005-s1-single-GA-0-5,2005-s1,single,2005-s1-single-GA,P0027,P0099,7,3,P0027,set-scores
2005-s1-single-GA-0-6,2005-s1,single,2005-s1-single-GA,P0027,P0055,7,3,P0027,set-scores
2005-s1-single-GA-0-7,2005-s1,single,2005-s1-single-GA,P0027,P0156,9,1,P0027,set-scores
2005-s1-single-GA-1-2,2005-s1,single,2005-s1-single-GA,P0141,P0082,3,7,P0082,set-scores
2005-s1-single-GA-1-4,2005-s1,single,2005-s1-single-GA,P0141,P0014,1,9,P0014,set-scores
2005-s1-single-GA-1-6,2005-s1,single,2005-s1-single-GA,P0141,P0055,6,4,P0141,set-scores
2005-s1-single-GA-2-3,2005-s1,single,2005-s1-single-GA,P0082,P0131,8,2,P0082,set-scores
2005-s1-single-GA-2-4,2005-s1,single,2005-s1-single-GA,P0082,P0014,4,6,P0014,set-scores
2005-s1-single-GA-2-5,2005-s1,single,2005-s1-single-GA,P0082,P0099,7,3,P0082,set-scores
2005-s1-single-GA-2-6,2005-s1,single,2005-s1-single-GA,P0082,P0055,4,6,P0055,set-scores
2005-s1-single-GA-2-7,2005-s1,single,2005-s1-single-GA,P0082,P0156,7,3,P0082,set-scores
2005-s1-single-GA-3-4,2005-s1,single,2005-s1-single-GA,P0131,P0014,2,8,P0014,set-scores
2005-s1-single-GA-3-5,2005-s1,single,2005-s1-single-GA,P0131,P0099,6,4,P0131,set-scores
2005-s1-single-GA-3-6,2005-s1,single,2005-s1-single-GA,P0131,P0055,3,7,P0055,set-scores
2005-s1-single-GA-3-7,2005-s1,single,2005-s1-single-GA,P0131,P0156,9,1,P0131,set-scores
2005-s1-single-GA-4-5,2005-s1,single,2005-s1-single-GA,P0014,P0099,3,7,P0099,set-scores
2005-s1-single-GA-4-6,2005-s1,single,2005-s1-single-GA,P0014,P0055,8,2,P0014,set-scores
2005-s1-single-GA-4-7,2005-s1,single,2005-s1-single-GA,P0014,P0156,6,4,P0014,set-scores
2005-s1-single-GA-5-6,2005-s1,single,2005-s1-single-GA,P0099,P0055,2,8,P0055,set-scores
2005-s1-single-GA-5-7,2005-s1,single,2005-s1-single-GA,P0099,P0156,4,6,P0156,set-scores
2005-s1-single-GB-0-1,2005-s1,single,2005-s1-single-GB,P0018,P0006,7,3,P0018,set-scores
2005-s1-single-GB-0-2,2005-s1,single,2005-s1-single-GB,P0018,P0008,3,7,P0008,set-scores
2005-s1-single-GB-0-3,2005-s1,single,2005-s1-single-GB,P0018,P0137,6,4,P0018,set-scores
2005-s1-single-GB-0-4,2005-s1,single,2005-s1-single-GB,P0018,P0108,10,0,P0018,set-scores
2005-s1-single-GB-0-5,2005-s1,single,2005-s1-single-GB,P0018,P0002,6,4,P0018,set-scores
2005-s1-single-GB-0-6,2005-s1,single,2005-s1-single-GB,P0018,P0143,8,2,P0018,set-scores
2005-s1-single-GB-0-7,2005-s1,single,2005-s1-single-GB,P0018,P0115,8,2,P0018,set-scores
2005-s1-single-GB-1-2,2005-s1,single,2005-s1-single-GB,P0006,P0008,4,6,P0008,set-scores
2005-s1-single-GB-1-3,2005-s1,single,2005-s1-single-GB,P0006,P0137,6,4,P0006,set-scores
2005-s1-single-GB-1-4,2005-s1,single,2005-s1-single-GB,P0006,P0108,7,3,P0006,set-scores
2005-s1-single-GB-1-5,2005-s1,single,2005-s1-single-GB,P0006,P0002,7,3,P0006,set-scores
2005-s1-single-GB-1-6,2005-s1,single,2005-s1-single-GB,P0006,P0143,6,4,P0006,set-scores
2005-s1-single-GB-1-7,2005-s1,single,2005-s1-single-GB,P0006,P0115,7,3,P0006,set-scores
2005-s1-single-GB-2-4,2005-s1,single,2005-s1-single-GB,P0008,P0108,8,2,P0008,set-scores
2005-s1-single-GB-2-5,2005-s1,single,2005-s1-single-GB,P0008,P0002,5,5,,set-scores
2005-s1-single-GB-2-6,2005-s1,single,2005-s1-single-GB,P0008,P0143,7,3,P0008,set-scores
2005-s1-single-GB-3-5,2005-s1,single,2005-s1-single-GB,P0137,P0002,2,8,P0002,set-scores
2005-s1-single-GB-4-5,2005-s1,single,2005-s1-single-GB,P0108,P0002,3,7,P0002,set-scores
2005-s1-single-GB-5-6,2005-s1,single,2005-s1-single-GB,P0002,P0143,4,6,P0143,set-scores
2005-s1-single-GB-5-7,2005-s1,single,2005-s1-single-GB,P0002,P0115,6,4,P0002,set-scores
2005-s1-single-GC-0-1,2005-s1,single,2005-s1-single-GC,P0058,P0107,7,3,P0058,set-scores
2005-s1-single-GC-0-3,2005-s1,single,2005-s1-single-GC,P0058,P0067,4,6,P0067,set-scores
2005-s1-single-GC-0-4,2005-s1,single,2005-s1-single-GC,P0058,P0155,9,1,P0058,set-scores
2005-s1-single-GC-0-7,2005-s1,single,2005-s1-single-GC,P0058,P0078,4,6,P0078,set-scores
2005-s1-single-GC-1-2,2005-s1,single,2005-s1-single-GC,P0107,P0044,8,2,P0107,set-scores
2005-s1-single-GC-1-3,2005-s1,single,2005-s1-single-GC,P0107,P0067,3,7,P0067,set-scores
2005-s1-single-GC-1-4,2005-s1,single,2005-s1-single-GC,P0107,P0155,7,3,P0107,set-scores
2005-s1-single-GC-1-6,2005-s1,single,2005-s1-single-GC,P0107,P0052,9,1,P0107,set-scores
2005-s1-single-GC-1-7,2005-s1,single,2005-s1-single-GC,P0107,P0078,6,4,P0107,set-scores
2005-s1-single-GC-3-4,2005-s1,single,2005-s1-single-GC,P0067,P0155,7,3,P0067,set-scores
2005-s1-single-GC-3-5,2005-s1,single,2005-s1-single-GC,P0067,P0134,7,3,P0067,set-scores
2005-s1-single-GC-3-7,2005-s1,single,2005-s1-single-GC,P0067,P0078,5,5,,set-scores
2005-s1-single-GC-4-6,2005-s1,single,2005-s1-single-GC,P0155,P0052,2,8,P0052,set-scores
2005-s1-single-GC-4-7,2005-s1,single,2005-s1-single-GC,P0155,P0078,1,9,P0078,set-scores
2005-s1-single-GC-5-6,2005-s1,single,2005-s1-single-GC,P0134,P0052,1,9,P0052,set-scores
2005-s1-single-GD-0-1,2005-s1,single,2005-s1-single-GD,P0036,P0049,4,6,P0049,set-scores
2005-s1-single-GD-0-2,2005-s1,single,2005-s1-single-GD,P0036,P0122,9,1,P0036,set-scores
2005-s1-single-GD-0-3,2005-s1,single,2005-s1-single-GD,P0036,P0046,6,4,P0036,set-scores
2005-s1-single-GD-0-5,2005-s1,single,2005-s1-single-GD,P0036,P0121,8,2,P0036,set-scores
2005-s1-single-GD-0-6,2005-s1,single,2005-s1-single-GD,P0036,P0007,5,5,,set-scores
2005-s1-single-GD-1-2,2005-s1,single,2005-s1-single-GD,P0049,P0122,10,0,P0049,set-scores
2005-s1-single-GD-1-3,2005-s1,single,2005-s1-single-GD,P0049,P0046,5,5,,set-scores
2005-s1-single-GD-1-4,2005-s1,single,2005-s1-single-GD,P0049,P0015,8,2,P0049,set-scores
2005-s1-single-GD-1-5,2005-s1,single,2005-s1-single-GD,P0049,P0121,6,4,P0049,set-scores
