group_id,season_id,division,group_letter,player_id,slot,played,wins,losses,draws,games_for,games_against,win_pct,points,bonus,total
2005-s1-single-GA,2005-s1,single,A,P0027,0,7,7,0,0,53,17,76,21,,21
2005-s1-single-GA,2005-s1,single,A,P0141,1,4,1,3,0,13,27,33,3,,3
2005-s1-single-GA,2005-s1,single,A,P0082,2,7,4,3,0,41,29,59,12,,12
2005-s1-single-GA,2005-s1,single,A,P0131,3,6,2,4,0,23,37,38,6,,6
2005-s1-single-GA,2005-s1,single,A,P0014,4,7,5,2,0,42,28,60,15,,15
2005-s1-single-GA,2005-s1,single,A,P0099,5,6,1,5,0,23,37,38.3,3,,3
2005-s1-single-GA,2005-s1,single,A,P0055,6,6,3,3,0,30,30,50,9,,9
2005-s1-single-GA,2005-s1,single,A,P0156,7,5,1,4,0,15,35,30,3,,3
2005-s1-single-GB,2005-s1,single,B,P0018,0,7,6,1,0,48,22,69,18,,18
2005-s1-single-GB,2005-s1,single,B,P0006,1,7,5,2,0,40,30,57.1,15,,15
2005-s1-single-GB,2005-s1,single,B,P0008,2,5,4,0,1,33,17,66,13,,13
2005-s1-single-GB,2005-s1,single,B,P0137,3,3,0,3,0,10,20,33,0,,0
2005-s1-single-GB,2005-s1,single,B,P0108,4,4,0,4,0,8,32,20,0,,0
2005-s1-single-GB,2005-s1,single,B,P0002,5,7,3,3,1,37,33,53,10,,10
2005-s1-single-GB,2005-s1,single,B,P0143,6,4,1,3,,15,25,38,3,,3
2005-s1-single-GB,2005-s1,single,B,P0115,7,3,0,3,0,9,21,30,0,,0
2005-s1-single-GC,2005-s1,single,C,P0058,0,4,2,2,0,24,16,60,6,,6
2005-s1-single-GC,2005-s1,single,C,P0107,1,6,4,2,0,36,24,60,12,,12
2005-s1-single-GC,2005-s1,single,C,P0044,2,1,0,1,0,2,8,20,0,,0
2005-s1-single-GC,2005-s1,single,C,P0067,3,5,4,0,1,32,18,64,13,,13
2005-s1-single-GC,2005-s1,single,C,P0155,4,4,0,4,0,7,33,17.5,0,,0
2005-s1-single-GC,2005-s1,single,C,P0134,5,2,0,2,0,4,16,20,0,,0
2005-s1-single-GC,2005-s1,single,C,P0052,6,4,,3,1,,,,60,,60
2005-s1-single-GC,2005-s1,single,C,P0078,7,5,2,2,1,28,22,56,7,,7
2005-s1-single-GD,2005-s1,single,D,P0036,0,5,3,1,1,32,18,64,10,,10
2005-s1-single-GD,2005-s1,single,D,P0049,1,7,5,0,2,47,23,67,17,,17
2005-s1-single-GD,2005-s1,single,D,P0122,2,4,1,3,0,9,31,23,3,,3
2005-s1-single-GD,2005-s1,single,D,P0046,3,6,2,2,2,38,22,63,8,,8
2005-s1-single-GD,2005-s1,single,D,P0015,4,3,2,1,0,15,15,50,6,,6
2005-s1-single-GD,2005-s1,single,D,P0121,5,7,1,5,1,26,44,37,4,,4
2005-s1-single-GD,2005-s1,single,D,P0007,6,6,2,2,2,28,32,47,8,,8
2005-s1-single-GD,2005-s1,single,D,P0092,7,4,1,3,0,15,25,38,3,,3
2005-s2-single-GA,2005-s2,single,A,P0005,0,6,4,2,0,38,22,63,13,,13
2005-s2-single-GA,2005-s2,single,A,P0018,1,5,5,0,0,39,11,78,15,,15
2005-s2-single-GA,2005-s2,single,A,P0082,2,4,3,1,0,30,20,60,9,,9
2005-s2-single-GA,2005-s2,single,A,P0092,3,3,1,2,0,15,15,50,3,,3
2005-s2-single-GA,2005-s2,single,A,P0150,4,6,0,6,0,0,60,0,0,,0
2005-s2-single-GA,2005-s2,single,A,P0043,5,4,1,3,0,20,20,50,3,,3
2005-s2-single-GA,2005-s2,single,A,P0058,6,6,4,2,0,28,22,56,12,,12
2005-s2-single-GB,2005-s2,single,B,P0027,0,6,5,0,1,44,16,73,17,,17
2005-s2-single-GB,2005-s2,single,B,P0003,1,3,1,2,0,17,13,56,3,,3
2005-s2-single-GB,2005-s2,single,B,P0145,2,6,5,1,0,41,19,68,16,,16
2005-s2-single-GB,2005-s2,single,B,P0144,3,4,2,2,0,20,20,50,6,,6
2005-s2-single-GB,2005-s2,single,B,P0148,4,3,1,2,0,15,15,50,3,,3
2005-s2-single-GB,2005-s2,single,B,P0012,5,3,1,1,1,19,11,63,4,,4
2005-s2-single-GB,2005-s2,single,B,P0100,6,0,,,,,,,,,
2005-s2-single-GC,2005-s2,single,C,P0038,0,3,2,1,0,21,9,70,6,,6
2005-s2-single-GC,2005-s2,single,C,P0046,1,5,4,0,1,35,15,70,13,,13
2005-s2-single-GC,2005-s2,single,C,P0019,2,4,1,2,1,22,28,44,4,,4
2005-s2-single-GC,2005-s2,single,C,P0125,3,0,,,,,,,,,
2005-s2-single-GC,2005-s2,single,C,P0007,4,6,4,2,0,37,23,62,13,,13
2005-s2-single-GC,2005-s2,single,C,P0096,5,5,1,3,1,23,27,46,5,,5
2005-s2-single-GC,2005-s2,single,C,P0131,6,6,4,1,1,42,18,70,14,,14
2005-s2-single-GD,2005-s2,single,D,P0128,0,2,1,1,0,13,7,65,3,,3
2005-s2-single-GD,2005-s2,single,D,P0060,1,6,4,2,0,41,19,68,13,,13
2005-s2-single-GD,2005-s2,single,D,P0143,2,5,3,1,1,31,19,62,10,,10
2005-s2-single-GD,2005-s2,single,D,P0041,3,5,2,3,0,25,25,50,6,,6
2005-s2-single-GD,2005-s2,single,D,P0080,4,6,4,2,0,38,22,63,13,,13
2005-s2-single-GD,2005-s2,single,D,P0079,5,0,,,,,,,,,
2005-s2-single-GD,2005-s2,single,D,P0024,6,5,3,1,1,30,20,60,10,,10
2005-s2-single-GE,2005-s2,single,E,P0057,0,6,4,2,0,32,28,53,13,,13
2005-s2-single-GE,2005-s2,single,E,P0103,1,6,6,0,0,51,10,85,19,,19
2005-s2-single-GE,2005-s2,single,E,P0095,2,6,2,3,1,33,27,55,8,,8
2005-s2-single-GE,2005-s2,single,E,P0127,3,6,2,4,0,23,37,38,5,,5
2005-s2-single-GE,2005-s2,single,E,P0101,4,0,,,,,,,,,
2005-s2-single-GE,2005-s2,single,E,P0040,5,6,1,4,1,26,34,43,5,,5
2005-s2-single-GE,2005-s2,single,E,P0037,6,6,5,1,0,45,15,75,16,,16
2005-s2-single-GF,2005-s2,single,F,P0063,0,4,0,3,1,9,31,23,1,,1
2005-s2-single-GF,2005-s2,single,F,P0087,1,5,3,1,1,32,18,64,11,,11
2005-s2-single-GF,2005-s2,single,F,P0004,2,6,3,2,1,35,25,58,11,,11
2005-s2-single-GF,2005-s2,single,F,P0089,3,6,1,2,3,26,34,43,7,,7
2005-s2-single-GF,2005-s2,single,F,P0108,4,5,0,4,1,15,35,30,1,,1
2005-s2-single-GF,2005-s2,single,F,P0070,5,6,3,2,1,30,30,50,,,
2005-s2-single-GF,2005-s2,single,F,P0081,6,5,5,0,0,49,11,82,19,,19
2005-s3-single-GA,2005-s3,single,A,P0005,0,5,5,0,0,35,15,70,15,,15
2005-s3-single-GA,2005-s3,single,A,P0007,1,5,4,1,0,34,16,68,12,,12
2005-s3-single-GA,2005-s3,single,A,P0069,2,5,2,3,0,22,28,44,6,,6
2005-s3-single-GA,2005-s3,single,A,P0139,3,5,0,3,2,21,29,42,2,,2
2005-s3-single-GA,2005-s3,single,A,P0118,4,5,3,2,0,27,33,45,10,,10
2005-s3-single-GA,2005-s3,single,A,P0109,5,5,0,4,1,14,36,28,1,,1
2005-s3-single-GA,2005-s3,single,A,P0082,6,3,1,1,1,17,13,57,4,,4
2005-s3-single-GB,2005-s3,single,B,P0027,0,5,4,0,1,39,11,78,13,,13
2005-s3-single-GB,2005-s3,single,B,P0042,1,6,4,2,0,38,22,63,13,,13
2005-s3-single-GB,2005-s3,single,B,P0072,2,6,2,3,1,34,26,57,8,,8
2005-s3-single-GB,2005-s3,single,B,P0022,3,0,,,,,,,,,
2005-s3-single-GB,2005-s3,single,B,P0143,4,6,4,2,0,35,25,58,13,,13
2005-s3-single-GB,2005-s3,single,B,P0099,5,5,1,4,0,20,30,40,3,,3
2005-s3-single-GB,2005-s3,single,B,P0041,6,4,3,1,0,14,16,47,9,,9
2005-s3-single-GC,2005-s3,single,C,P0130,0,6,5,1,0,39,21,65,16,,16
2005-s3-single-GC,2005-s3,single,C,P0053,1,6,1,5,0,19,41,32,4,,4
2005-s3-single-GC,2005-s3,single,C,P0045,2,5,3,1,1,33,27,55,12,,12
2005-s3-single-GC,2005-s3,single,C,P0105,3,6,2,2,2,34,26,56,9,,9
2005-s3-single-GC,2005-s3,single,C,P0097,4,6,1,4,1,23,37,38,5,,5
2005-s3-single-GC,2005-s3,single,C,P0123,5,5,3,1,1,29,21,58,10,,10
2005-s3-single-GC,2005-s3,single,C,P0124,6,5,2,3,0,23,27,46,6,,6
2005-s3-single-GD,2005-s3,single,D,P0073,0,6,5,0,1,40,20,67,17,,17
2005-s3-single-GD,2005-s3,single,D,P0080,1,5,3,0,2,33,17,66,11,,11
2005-s3-single-GD,2005-s3,single,D,P0061,2,5,2,2,1,27,23,54,7,,7
2005-s3-single-GD,2005-s3,single,D,P0016,3,2,0,0,2,9,11,45,1,,1
2005-s3-single-GD,2005-s3,single,D,P0047,4,4,1,1,2,18,22,45,5,,5
2005-s3-single-GD,2005-s3,single,D,P0011,5,4,0,4,0,10,30,25,0,,0
2005-s3-single-GD,2005-s3,single,D,P0096,6,6,1,4,1,23,37,38,5,,5
2005-s3-single-GE,2005-s3,single,E,P0113,0,5,4,0,1,35,15,70,13,,13
2005-s3-single-GE,2005-s3,single,E,P0031,1,0,,,,,,,,,
2005-s3-single-GE,2005-s3,single,E,P0002,2,5,3,2,0,32,18,64,9,,9
