group_id,season_id,division,group_letter,score_model
2005-s1-single-GA,2005-s1,single,A,set-scores
2005-s1-single-GB,2005-s1,single,B,set-scores
2005-s1-single-GC,2005-s1,single,C,set-scores
2005-s1-single-GD,2005-s1,single,D,set-scores
2005-s2-single-GA,2005-s2,single,A,set-scores
2005-s2-single-GB,2005-s2,single,B,set-scores
2005-s2-single-GC,2005-s2,single,C,set-scores
2005-s2-single-GD,2005-s2,single,D,set-scores
2005-s2-single-GE,2005-s2,single,E,set-scores
2005-s2-single-GF,2005-s2,single,F,set-scores
2005-s3-single-GA,2005-s3,single,A,set-scores
2005-s3-single-GB,2005-s3,single,B,set-scores
2005-s3-single-GC,2005-s3,single,C,set-scores
2005-s3-single-GD,2005-s3,single,D,set-scores
2005-s3-single-GE,2005-s3,single,E,set-scores
2005-s3-single-GF,2005-s3,single,F,set-scores
2005-s3-single-GG,2005-s3,single,G,set-scores
2005-s4-single-GA,2005-s4,single,A,set-scores
2005-s4-single-GB,2005-s4,single,B,set-scores
2005-s4-single-GC,2005-s4,single,C,set-scores
2005-s4-single-GD,2005-s4,single,D,set-scores
2005-s4-single-GE,2005-s4,single,E,set-scores
2005-s4-single-GF,2005-s4,single,F,set-scores
2005-s4-single-GG,2005-s4,single,G,set-scores
2005-s4-single-GH,2005-s4,single,H,set-scores
2005-s4-single-GI,2005-s4,single,I,set-scores
2005-s4-single-GJ,2005-s4,single,J,set-scores
2005-s4-single-GK,2005-s4,single,K,set-scores
2006-s1-single-GA,2006-s1,single,A,set-scores
2006-s1-single-GB,2006-s1,single,B,set-scores
2006-s1-single-GC,2006-s1,single,C,set-scores
2006-s1-single-GD,2006-s1,single,D,set-scores
2006-s1-single-GE,2006-s1,single,E,set-scores
2006-s1-single-GF,2006-s1,single,F,set-scores
2006-s1-single-GG,2006-s1,single,G,set-scores
2006-s1-single-GH,2006-s1,single,H,set-scores
2006-s1-single-GI,2006-s1,single,I,set-scores
2006-s1-single-GN,2006-s1,single,N,set-scores
2006-s1-single-GJ,2006-s1,single,J,set-scores
2006-s1-single-GK,2006-s1,single,K,set-scores
2006-s1-single-GL,2006-s1,single,L,set-scores
2006-s1-single-GM,2006-s1,single,M,set-scores
2006-s2-single-GA,2006-s2,single,A,set-scores
2006-s2-single-GB,2006-s2,single,B,set-scores
2006-s2-single-GC,2006-s2,single,C,set-scores
2006-s2-single-GD,2006-s2,single,D,set-scores
2006-s2-single-GE,2006-s2,single,E,set-scores
2006-s2-single-GF,2006-s2,single,F,set-scores
2006-s2-single-GG,2006-s2,single,G,set-scores
2006-s2-single-GH,2006-s2,single,H,set-scores
2006-s2-single-GI,2006-s2,single,I,set-scores
2006-s2-single-GJ,2006-s2,single,J,set-scores
2006-s2-single-GW,2006-s2,single,W,set-scores
2006-s2-single-GX,2006-s2,single,X,set-scores
2006-s2-single-GY,2006-s2,single,Y,set-scores
2006-s2-single-GZ,2006-s2,single,Z,set-scores
2006-s3-A-GA,2006-s3,A,A,set-scores
2006-s3-A-GB,2006-s3,A,B,set-scores
2006-s3-A-GC,2006-s3,A,C,set-scores
2006-s3-A-GD,2006-s3,A,D,set-scores
2006-s3-A-GE,2006-s3,A,E,set-scores
2006-s3-A-GF,2006-s3,A,F,set-scores
2006-s3-A-GG,2006-s3,A,G,set-scores
2006-s3-A-GH,2006-s3,A,H,set-scores
2006-s3-A-GI,2006-s3,A,I,set-scores
2006-s3-A-GJ,2006-s3,A,J,set-scores
2006-s3-A-GW,2006-s3,A,W,set-scores
2006-s3-A-GX,2006-s3,A,X,set-scores
2006-s3-A-GY,2006-s3,A,Y,set-scores
2006-s3-A-GZ,2006-s3,A,Z,set-scores
2006-s3-B-GA,2006-s3,B,A,set-scores
2006-s3-B-GB,2006-s3,B,B,set-scores
2006-s3-B-GC,2006-s3,B,C,set-scores
2006-s3-B-GD,2006-s3,B,D,set-scores
2006-s3-B-GE,2006-s3,B,E,set-scores
2006-s3-B-GF,2006-s3,B,F,set-scores
2006-s3-B-GG,2006-s3,B,G,set-scores
2006-s3-B-GH,2006-s3,B,H,set-scores
2006-s3-B-GI,2006-s3,B,I,set-scores
2006-s3-B-GJ,2006-s3,B,J,set-scores
2006-s3-B-GW,2006-s3,B,W,set-scores
2006-s3-B-GX,2006-s3,B,X,set-scores
2006-s3-B-GY,2006-s3,B,Y,set-scores
2006-s3-B-GZ,2006-s3,B,Z,set-scores
2006-s4-A-GA,2006-s4,A,A,set-scores
2006-s4-A-GB,2006-s4,A,B,set-scores
2006-s4-A-GC,2006-s4,A,C,set-scores
2006-s4-A-GD,2006-s4,A,D,set-scores
2006-s4-A-GE,2006-s4,A,E,set-scores
2006-s4-A-GF,2006-s4,A,F,set-scores
2006-s4-A-GG,2006-s4,A,G,set-scores
2006-s4-A-GH,2006-s4,A,H,set-scores
2006-s4-A-GI,2006-s4,A,I,set-scores
2006-s4-B-GV,2006-s4,B,V,set-scores
2006-s4-B-GW,2006-s4,B,W,set-scores
2006-s4-B-GX,2006-s4,B,X,set-scores
2006-s4-B-GY,2006-s4,B,Y,set-scores
2006-s4-B-GZ,2006-s4,B,Z,set-scores
2006-s5-A-GA,2006-s5,A,A,set-scores
2006-s5-A-GB,2006-s5,A,B,set-scores
2006-s5-A-GC,2006-s5,A,C,set-scores
2006-s5-A-GD,2006-s5,A,D,set-scores
2006-s5-A-GE,2006-s5,A,E,set-scores
2006-s5-A-GF,2006-s5,A,F,set-scores
2006-s5-A-GG,2006-s5,A,G,set-scores
2006-s5-A-GH,2006-s5,A,H,set-scores
2006-s5-A-GI,2006-s5,A,I,set-scores
2006-s5-A-GJ,2006-s5,A,J,set-scores
2006-s5-A-GK,2006-s5,A,K,set-scores
2006-s5-B-GA,2006-s5,B,A,set-scores
2006-s5-B-GB,2006-s5,B,B,set-scores
2006-s5-B-GC,2006-s5,B,C,set-scores
2006-s5-B-GD,2006-s5,B,D,set-scores
2006-s5-B-GE,2006-s5,B,E,set-scores
2006-s6-A-GA,2006-s6,A,A,set-scores
2006-s6-A-GB,2006-s6,A,B,set-scores
2006-s6-A-GC,2006-s6,A,C,set-scores
2006-s6-A-GD,2006-s6,A,D,set-scores
2006-s6-A-GE,2006-s6,A,E,set-scores
2006-s6-A-GF,2006-s6,A,F,set-scores
2006-s6-A-GG,2006-s6,A,G,set-scores
2006-s6-A-GH,2006-s6,A,H,set-scores
2006-s6-A-GI,2006-s6,A,I,set-scores
2006-s6-A-GJ,2006-s6,A,J,set-scores
2006-s6-B-GA,2006-s6,B,A,set-scores
2006-s6-B-GB,2006-s6,B,B,set-scores
2006-s6-B-GC,2006-s6,B,C,set-scores
