player_lo_id,player_hi_id,matches,lo_wins,hi_wins,draws,lo_games,hi_games,group_matches,playoff_matches,last_season
P0027,P0141,1,1,0,0,7,3,1,0,2005-s1
P0027,P0082,1,1,0,0,6,4,1,0,2005-s1
P0027,P0131,1,1,0,0,9,1,1,0,2005-s1
P0014,P0027,1,0,1,0,2,8,1,0,2005-s1
P0027,P0099,3,3,0,0,23,7,3,0,2005-s4
P0027,P0055,1,1,0,0,7,3,1,0,2005-s1
P0027,P0156,1,1,0,0,9,1,1,0,2005-s1
P0082,P0141,1,1,0,0,7,3,1,0,2005-s1
P0014,P0141,1,1,0,0,9,1,1,0,2005-s1
P0055,P0141,1,0,1,0,4,6,1,0,2005-s1
P0082,P0131,1,1,0,0,8,2,1,0,2005-s1
P0014,P0082,1,1,0,0,6,4,1,0,2005-s1
P0082,P0099,1,1,0,0,7,3,1,0,2005-s1
P0055,P0082,1,1,0,0,6,4,1,0,2005-s1
P0082,P0156,1,1,0,0,7,3,1,0,2005-s1
P0014,P0131,1,1,0,0,8,2,1,0,2005-s1
P0099,P0131,1,0,1,0,4,6,1,0,2005-s1
P0055,P0131,1,1,0,0,7,3,1,0,2005-s1
P0131,P0156,1,1,0,0,9,1,1,0,2005-s1
P0014,P0099,1,0,1,0,3,7,1,0,2005-s1
P0014,P0055,1,1,0,0,8,2,1,0,2005-s1
P0014,P0156,1,1,0,0,6,4,1,0,2005-s1
P0055,P0099,1,1,0,0,8,2,1,0,2005-s1
P0099,P0156,1,0,1,0,4,6,1,0,2005-s1
P0006,P0018,1,0,1,0,3,7,1,0,2005-s1
P0008,P0018,1,1,0,0,7,3,1,0,2005-s1
P0018,P0137,1,1,0,0,6,4,1,0,2005-s1
P0018,P0108,1,1,0,0,10,0,1,0,2005-s1
P0002,P0018,1,0,1,0,4,6,1,0,2005-s1
P0018,P0143,1,1,0,0,8,2,1,0,2005-s1
P0018,P0115,1,1,0,0,8,2,1,0,2005-s1
P0006,P0008,1,0,1,0,4,6,1,0,2005-s1
P0006,P0137,1,1,0,0,6,4,1,0,2005-s1
P0006,P0108,1,1,0,0,7,3,1,0,2005-s1
P0002,P0006,1,0,1,0,3,7,1,0,2005-s1
P0006,P0143,1,1,0,0,6,4,1,0,2005-s1
P0006,P0115,1,1,0,0,7,3,1,0,2005-s1
P0008,P0108,1,1,0,0,8,2,1,0,2005-s1
P0002,P0008,1,0,0,1,5,5,1,0,2005-s1
P0008,P0143,1,1,0,0,7,3,1,0,2005-s1
P0002,P0137,1,1,0,0,8,2,1,0,2005-s1
P0002,P0108,1,1,0,0,7,3,1,0,2005-s1
P0002,P0143,1,0,1,0,4,6,1,0,2005-s1
P0002,P0115,1,1,0,0,6,4,1,0,2005-s1
P0058,P0107,1,1,0,0,7,3,1,0,2005-s1
P0058,P0067,1,0,1,0,4,6,1,0,2005-s1
P0058,P0155,1,1,0,0,9,1,1,0,2005-s1
P0058,P0078,1,0,1,0,4,6,1,0,2005-s1
P0044,P0107,1,0,1,0,2,8,1,0,2005-s1
P0067,P0107,1,1,0,0,7,3,1,0,2005-s1
P0107,P0155,1,1,0,0,7,3,1,0,2005-s1
P0052,P0107,1,0,1,0,1,9,1,0,2005-s1
P0078,P0107,1,0,1,0,4,6,1,0,2005-s1
P0067,P0155,1,1,0,0,7,3,1,0,2005-s1
P0067,P0134,1,1,0,0,7,3,1,0,2005-s1
P0067,P0078,1,0,0,1,5,5,1,0,2005-s1
P0052,P0155,1,1,0,0,8,2,1,0,2005-s1
P0078,P0155,1,1,0,0,9,1,1,0,2005-s1
P0052,P0134,1,1,0,0,9,1,1,0,2005-s1
P0036,P0049,1,0,1,0,4,6,1,0,2005-s1
P0036,P0122,1,1,0,0,9,1,1,0,2005-s1
P0036,P0046,1,1,0,0,6,4,1,0,2005-s1
P0036,P0121,1,1,0,0,8,2,1,0,2005-s1
P0007,P0036,1,0,0,1,5,5,1,0,2005-s1
P0049,P0122,1,1,0,0,10,0,1,0,2005-s1
P0046,P0049,1,0,0,1,5,5,1,0,2005-s1
P0015,P0049,1,0,1,0,2,8,1,0,2005-s1
P0049,P0121,1,1,0,0,6,4,1,0,2005-s1
P0007,P0049,1,0,0,1,5,5,1,0,2005-s1
P0049,P0092,1,1,0,0,7,3,1,0,2005-s1
P0046,P0122,1,1,0,0,10,0,1,0,2005-s1
P0121,P0122,1,0,1,0,2,8,1,0,2005-s1
P0046,P0121,1,0,0,1,5,5,1,0,2005-s1
P0007,P0046,2,1,1,0,9,11,2,0,2005-s2
P0046,P0092,1,1,0,0,10,0,1,0,2005-s1
P0015,P0121,1,1,0,0,6,4,1,0,2005-s1
P0007,P0015,1,0,1,0,3,7,1,0,2005-s1
P0007,P0121,1,1,0,0,7,3,1,0,2005-s1
P0092,P0121,1,0,1,0,4,6,1,0,2005-s1
P0007,P0092,1,0,1,0,2,8,1,0,2005-s1
P0005,P0018,1,0,1,0,3,7,1,0,2005-s2
P0005,P0082,1,1,0,0,6,4,1,0,2005-s2
P0005,P0092,1,1,0,0,9,1,1,0,2005-s2
P0005,P0150,1,1,0,0,10,0,1,0,2005-s2
P0005,P0043,1,1,0,0,6,4,1,0,2005-s2
P0005,P0058,1,0,1,0,4,6,1,0,2005-s2
P0018,P0082,2,2,0,0,17,3,2,0,2006-s5
P0018,P0092,1,1,0,0,6,4,1,0,2005-s2
P0018,P0150,1,1,0,0,10,0,1,0,2005-s2
P0018,P0058,1,1,0,0,9,1,1,0,2005-s2
P0082,P0150,1,1,0,0,10,0,1,0,2005-s2
P0043,P0082,1,0,1,0,4,6,1,0,2005-s2
P0058,P0082,1,0,1,0,3,7,1,0,2005-s2
P0092,P0150,1,1,0,0,10,0,1,0,2005-s2
P0043,P0150,1,1,0,0,10,0,1,0,2005-s2
P0058,P0150,1,1,0,0,10,0,1,0,2005-s2
P0043,P0058,1,0,1,0,2,8,1,0,2005-s2
P0003,P0027,1,0,1,0,4,6,1,0,2005-s2
P0027,P0145,1,1,0,0,8,2,1,0,2005-s2
P0027,P0144,1,1,0,0,6,4,1,0,2005-s2
P0027,P0148,1,1,0,0,9,1,1,0,2005-s2
P0012,P0027,1,0,0,1,5,5,1,0,2005-s2
P0027,P0100,1,1,0,0,10,0,1,0,2005-s2
P0003,P0145,1,0,1,0,3,7,1,0,2005-s2
P0003,P0100,1,1,0,0,10,0,1,0,2005-s2
P0144,P0145,1,0,1,0,0,10,1,0,2005-s2
P0145,P0148,1,1,0,0,6,4,1,0,2005-s2
P0012,P0145,1,0,1,0,4,6,1,0,2005-s2
P0100,P0145,1,0,1,0,0,10,1,0,2005-s2
P0100,P0144,1,0,1,0,0,10,1,0,2005-s2
P0100,P0148,1,0,1,0,0,10,1,0,2005-s2
P0012,P0100,1,1,0,0,10,0,1,0,2005-s2
P0038,P0125,1,1,0,0,10,0,1,0,2005-s2
P0007,P0038,1,1,0,0,6,4,1,0,2005-s2
P0038,P0131,1,1,0,0,7,3,1,0,2005-s2
P0019,P0046,1,0,1,0,4,6,1,0,2005-s2
P0046,P0125,1,1,0,0,10,0,1,0,2005-s2
P0046,P0096,1,1,0,0,7,3,1,0,2005-s2
P0046,P0131,1,0,0,1,5,5,1,0,2005-s2
P0019,P0125,1,1,0,0,10,0,1,0,2005-s2
P0007,P0019,1,1,0,0,10,0,1,0,2005-s2
P0019,P0096,1,0,0,1,5,5,1,0,2005-s2
P0019,P0131,1,0,1,0,3,7,1,0,2005-s2
P0007,P0096,1,1,0,0,7,3,1,0,2005-s2
P0007,P0131,1,0,1,0,1,9,1,0,2005-s2
P0096,P0131,1,0,1,0,2,8,1,0,2005-s2
P0080,P0128,1,1,0,0,7,3,1,0,2005-s2
P0079,P0128,1,0,1,0,0,10,1,0,2005-s2
P0060,P0143,1,1,0,0,7,3,1,0,2005-s2
P0041,P0060,1,0,1,0,2,8,1,0,2005-s2
P0060,P0080,1,0,1,0,4,6,1,0,2005-s2
P0060,P0079,1,1,0,0,10,0,1,0,2005-s2
P0024,P0060,1,1,0,0,6,4,1,0,2005-s2
P0041,P0143,2,1,1,0,10,10,2,0,2005-s3
P0080,P0143,1,0,1,0,3,7,1,0,2005-s2
P0079,P0143,1,0,1,0,0,10,1,0,2005-s2
P0024,P0143,1,0,0,1,5,5,1,0,2005-s2
P0041,P0080,1,0,1,0,2,8,1,0,2005-s2
P0041,P0079,1,1,0,0,10,0,1,0,2005-s2
P0024,P0041,1,0,1,0,3,7,1,0,2005-s2
P0079,P0080,1,0,1,0,0,10,1,0,2005-s2
P0024,P0080,2,1,1,0,8,12,2,0,2005-s4
P0057,P0103,1,0,1,0,0,10,1,0,2005-s2
P0057,P0095,1,1,0,0,7,3,1,0,2005-s2
P0057,P0127,1,1,0,0,7,3,1,0,2005-s2
P0057,P0101,1,1,0,0,10,0,1,0,2005-s2
P0040,P0057,1,0,1,0,3,7,1,0,2005-s2
P0037,P0057,1,1,0,0,9,1,1,0,2005-s2
P0095,P0103,1,0,1,0,2,8,1,0,2005-s2
P0103,P0127,1,1,0,0,9,1,1,0,2005-s2
P0101,P0103,1,0,1,0,0,10,1,0,2005-s2
P0040,P0103,1,0,1,0,2,8,1,0,2005-s2
P0037,P0103,1,0,1,0,4,6,1,0,2005-s2
P0095,P0127,1,1,0,0,10,0,1,0,2005-s2
P0095,P0101,1,1,0,0,10,0,1,0,2005-s2
P0040,P0095,1,0,0,1,5,5,1,0,2005-s2
P0037,P0095,1,1,0,0,7,3,1,0,2005-s2
P0101,P0127,1,0,1,0,0,10,1,0,2005-s2
P0040,P0127,1,0,1,0,4,6,1,0,2005-s2
P0037,P0127,1,1,0,0,7,3,1,0,2005-s2
P0037,P0040,1,1,0,0,8,2,1,0,2005-s2
P0063,P0087,1,0,1,0,3,7,1,0,2005-s2
P0004,P0063,2,2,0,0,15,5,2,0,2005-s3
P0063,P0089,1,0,0,1,5,5,1,0,2005-s2
P0063,P0070,1,0,1,0,0,10,1,0,2005-s2
P0004,P0087,1,1,0,0,6,4,1,0,2005-s2
P0087,P0089,1,0,0,1,5,5,1,0,2005-s2
P0087,P0108,1,1,0,0,6,4,1,0,2005-s2
P0070,P0087,1,0,1,0,0,10,1,0,2005-s2
P0004,P0089,1,0,1,0,4,6,1,0,2005-s2
