player_id,season_id,division,group_id,group_letter,group_played,group_wins,group_losses,group_points,group_win_pct,made_playoffs,playoff_seed,result
P0027,2005-s1,single,2005-s1-single-GA,A,7,7,0,21,76,True,1,Champion
P0141,2005-s1,single,2005-s1-single-GA,A,4,1,3,3,33,False,,Group stage
P0082,2005-s1,single,2005-s1-single-GA,A,7,4,3,12,59,True,11,Made playoffs
P0131,2005-s1,single,2005-s1-single-GA,A,6,2,4,6,38,False,,Group stage
P0014,2005-s1,single,2005-s1-single-GA,A,7,5,2,15,60,True,14,Made playoffs
P0099,2005-s1,single,2005-s1-single-GA,A,6,1,5,3,38.3,False,,Group stage
P0055,2005-s1,single,2005-s1-single-GA,A,6,3,3,9,50,True,6,Made playoffs
P0156,2005-s1,single,2005-s1-single-GA,A,5,1,4,3,30,False,,Group stage
P0018,2005-s1,single,2005-s1-single-GB,B,7,6,1,18,69,True,12,Made playoffs
P0006,2005-s1,single,2005-s1-single-GB,B,7,5,2,15,57.1,True,3,Made playoffs
P0008,2005-s1,single,2005-s1-single-GB,B,5,4,0,13,66,False,,Group stage
P0137,2005-s1,single,2005-s1-single-GB,B,3,0,3,0,33,False,,Group stage
P0108,2005-s1,single,2005-s1-single-GB,B,4,0,4,0,20,False,,Group stage
P0002,2005-s1,single,2005-s1-single-GB,B,7,3,3,10,53,True,9,Made playoffs
P0143,2005-s1,single,2005-s1-single-GB,B,4,1,3,3,38,False,,Group stage
P0115,2005-s1,single,2005-s1-single-GB,B,3,0,3,0,30,False,,Group stage
P0058,2005-s1,single,2005-s1-single-GC,C,4,2,2,6,60,True,13,Made playoffs
P0107,2005-s1,single,2005-s1-single-GC,C,6,4,2,12,60,True,7,Made playoffs
P0044,2005-s1,single,2005-s1-single-GC,C,1,0,1,0,20,False,,Group stage
P0067,2005-s1,single,2005-s1-single-GC,C,5,4,0,13,64,True,8,Runner-up
P0155,2005-s1,single,2005-s1-single-GC,C,4,0,4,0,17.5,False,,Group stage
P0134,2005-s1,single,2005-s1-single-GC,C,2,0,2,0,20,False,,Group stage
P0052,2005-s1,single,2005-s1-single-GC,C,4,,3,60,,False,,Group stage
P0078,2005-s1,single,2005-s1-single-GC,C,5,2,2,7,56,True,4,Made playoffs
P0036,2005-s1,single,2005-s1-single-GD,D,5,3,1,10,64,True,10,Made playoffs
P0049,2005-s1,single,2005-s1-single-GD,D,7,5,0,17,67,True,5,Made playoffs
P0122,2005-s1,single,2005-s1-single-GD,D,4,1,3,3,23,False,,Group stage
P0046,2005-s1,single,2005-s1-single-GD,D,6,2,2,8,63,True,15,Made playoffs
P0015,2005-s1,single,2005-s1-single-GD,D,3,2,1,6,50,False,,Group stage
P0121,2005-s1,single,2005-s1-single-GD,D,7,1,5,4,37,False,,Group stage
P0007,2005-s1,single,2005-s1-single-GD,D,6,2,2,8,47,True,2,Made playoffs
P0092,2005-s1,single,2005-s1-single-GD,D,4,1,3,3,38,False,,Group stage
P0005,2005-s2,single,2005-s2-single-GA,A,6,4,2,13,63,True,2,Made playoffs
P0018,2005-s2,single,2005-s2-single-GA,A,5,5,0,15,78,True,10,Runner-up
P0082,2005-s2,single,2005-s2-single-GA,A,4,3,1,9,60,False,,Group stage
