match_id,playoff_id,season_id,division,round,round_name,match_no,player_a_id,player_b_id,score,winner_id,loser_id
2005-s1-single-PO-R1-M1,2005-s1-single,2005-s1,single,1,Round 1,1,P0027,P0007,,,
2005-s1-single-PO-R1-M2,2005-s1-single,2005-s1,single,1,Round 1,2,P0006,P0078,,,
2005-s1-single-PO-R1-M3,2005-s1-single,2005-s1,single,1,Round 1,3,P0049,P0055,,,
2005-s1-single-PO-R1-M4,2005-s1-single,2005-s1,single,1,Round 1,4,P0107,P0067,,,
2005-s1-single-PO-R1-M5,2005-s1-single,2005-s1,single,1,Round 1,5,P0002,P0036,,,
2005-s1-single-PO-R1-M6,2005-s1-single,2005-s1,single,1,Round 1,6,P0082,P0018,,,
2005-s1-single-PO-R1-M7,2005-s1-single,2005-s1,single,1,Round 1,7,P0058,P0014,,,
2005-s2-single-PO-R1-M1,2005-s2-single,2005-s2,single,1,Round 1,1,P0081,P0005,,,
2005-s2-single-PO-R1-M2,2005-s2-single,2005-s2,single,1,Round 1,2,P0154,P0131,,,
2005-s2-single-PO-R1-M3,2005-s2-single,2005-s2,single,1,Round 1,3,P0024,P0027,,,
2005-s2-single-PO-R1-M4,2005-s2-single,2005-s2,single,1,Round 1,4,P0004,P0037,,,
2005-s2-single-PO-R1-M5,2005-s2-single,2005-s2,single,1,Round 1,5,P0060,P0018,,,
2005-s2-single-PO-R1-M6,2005-s2-single,2005-s2,single,1,Round 1,6,P0103,P0007,,,
2005-s2-single-PO-R1-M7,2005-s2-single,2005-s2,single,1,Round 1,7,P0145,P0143,,,
2005-s2-single-PO-R1-M8,2005-s2-single,2005-s2,single,1,Round 1,8,P0083,P0046,,,
2005-s2-single-PO-R1-M9,2005-s2-single,2005-s2,single,1,Round 1,9,P0087,P0080,,,
2005-s2-single-PO-R1-M10,2005-s2-single,2005-s2,single,1,Round 1,10,P0057,P0058,,,
2005-s3-single-PO-R1-M1,2005-s3-single,2005-s3,single,1,Round 1,1,P0004,P0123,,,
2005-s3-single-PO-R1-M2,2005-s3-single,2005-s3,single,1,Round 1,2,P0118,P0143,,,
2005-s3-single-PO-R1-M3,2005-s3-single,2005-s3,single,1,Round 1,3,P0042,P0027,,,
2005-s3-single-PO-R1-M4,2005-s3-single,2005-s3,single,1,Round 1,4,P0132,P0061,,,
2005-s3-single-PO-R1-M5,2005-s3-single,2005-s3,single,1,Round 1,5,P0023,P0024,,,
2005-s3-single-PO-R1-M6,2005-s3-single,2005-s3,single,1,Round 1,6,P0007,P0005,,,
2005-s3-single-PO-R1-M7,2005-s3-single,2005-s3,single,1,Round 1,7,P0062,P0017,,,
2005-s3-single-PO-R1-M8,2005-s3-single,2005-s3,single,1,Round 1,8,P0002,P0130,,,
2005-s3-single-PO-R1-M9,2005-s3-single,2005-s3,single,1,Round 1,9,P0045,P0073,,,
2005-s3-single-PO-R1-M10,2005-s3-single,2005-s3,single,1,Round 1,10,P0113,P0001,,,
