playoff_id,season_id,division,seed,player_id,handle
2005-s1-single,2005-s1,single,1,P0027,xlx_cerebro_xlx
2005-s1-single,2005-s1,single,2,P0007,mtvaldo
2005-s1-single,2005-s1,single,3,P0006,aka_chris_soccer
2005-s1-single,2005-s1,single,4,P0078,xlx_propooler_xlx
2005-s1-single,2005-s1,single,5,P0049,xlx_darkforce_xlx
2005-s1-single,2005-s1,single,6,P0055,Drummer_Dude
2005-s1-single,2005-s1,single,7,P0107,mspoolpro
2005-s1-single,2005-s1,single,8,P0067,IndianHacker
2005-s1-single,2005-s1,single,9,P0002,lvl_i_g_h_t_y
2005-s1-single,2005-s1,single,10,P0036,Mr_Clutch2005
2005-s1-single,2005-s1,single,11,P0082,Joker_69696
2005-s1-single,2005-s1,single,12,P0018,Bongman420_
2005-s1-single,2005-s1,single,13,P0058,Elite_Stealth_Trooper
2005-s1-single,2005-s1,single,14,P0014,l3ammy
2005-s1-single,2005-s1,single,15,P0046,da_underhacker
2005-s2-single,2005-s2,single,1,P0081,recognize_this_style
2005-s2-single,2005-s2,single,2,P0005,x0_adnan_0x
2005-s2-single,2005-s2,single,3,P0154,x0_adnan_x0
2005-s2-single,2005-s2,single,4,P0131,scott22883
2005-s2-single,2005-s2,single,5,P0024,british_pool_wizard
2005-s2-single,2005-s2,single,6,P0027,xlx_cerebro_xlx
2005-s2-single,2005-s2,single,7,P0004,im_god_x
2005-s2-single,2005-s2,single,8,P0037,xlx_bomber_xlx
2005-s2-single,2005-s2,single,9,P0060,fuzion_hero
2005-s2-single,2005-s2,single,10,P0018,bongman420_
2005-s2-single,2005-s2,single,11,P0103,mirkwood_bandit
2005-s2-single,2005-s2,single,12,P0007,mtvaldo
2005-s2-single,2005-s2,single,13,P0145,The_Big_Game
2005-s2-single,2005-s2,single,14,P0143,tanzania_pool
2005-s2-single,2005-s2,single,15,P0083,Joker69696
2005-s2-single,2005-s2,single,16,P0046,DA_underHACKER
2005-s2-single,2005-s2,single,17,P0087,l_sm3ll_l3lo0l7
2005-s2-single,2005-s2,single,18,P0080,xx_neme_uk_xx
2005-s2-single,2005-s2,single,19,P0057,el_awesomo
2005-s2-single,2005-s2,single,20,P0058,Elite_Stealth_Trooper
2005-s3-single,2005-s3,single,1,P0004,im_god_x
2005-s3-single,2005-s3,single,2,P0123,t_wolvesfan17
2005-s3-single,2005-s3,single,3,P0118,OXFORD_69
2005-s3-single,2005-s3,single,4,P0143,tanzania_pool
2005-s3-single,2005-s3,single,5,P0042,crypt6uardian
2005-s3-single,2005-s3,single,6,P0027,xlx_cerebro_xlx
2005-s3-single,2005-s3,single,7,P0132,xlx_a_p_c_xlx
2005-s3-single,2005-s3,single,8,P0061,Rock_007
2005-s3-single,2005-s3,single,9,P0023,british-pool_wizard
2005-s3-single,2005-s3,single,10,P0024,british_pool_wizard
2005-s3-single,2005-s3,single,11,P0007,mtvaldo
2005-s3-single,2005-s3,single,12,P0005,x0_adnan_0x
2005-s3-single,2005-s3,single,13,P0062,Nolimitgary
2005-s3-single,2005-s3,single,14,P0017,rvdblade
2005-s3-single,2005-s3,single,15,P0002,lvl_i_g_h_t_y
2005-s3-single,2005-s3,single,16,P0130,Scary911
2005-s3-single,2005-s3,single,17,P0045,da_nnyboy
2005-s3-single,2005-s3,single,18,P0073,xlx_britishpoolking_xlx
2005-s3-single,2005-s3,single,19,P0113,nick_87uk
2005-s3-single,2005-s3,single,20,P0001,_flip_16
2005-s3-single,2005-s3,single,21,P0080,xx_neme_uk_xx
2005-s3-single,2005-s3,single,22,P0063,gustavohan
2005-s4-single,2005-s4,single,1,P0032,dr_blastt
2005-s4-single,2005-s4,single,2,P0090,king_hustler2004
2005-s4-single,2005-s4,single,3,P0024,british_pool_wizard
2005-s4-single,2005-s4,single,4,P0104,xlx_pool_instinct_xlx
2005-s4-single,2005-s4,single,5,P0138,SPORTY_4_U
2005-s4-single,2005-s4,single,6,P0132,xlx_a_p_c_xlx
2005-s4-single,2005-s4,single,7,P0065,HaVoK_73
2005-s4-single,2005-s4,single,8,P0075,lxl_jerm_is_evil_lxl
2005-s4-single,2005-s4,single,9,P0026,Misshustler
2005-s4-single,2005-s4,single,10,P0063,Gustavohan
2005-s4-single,2005-s4,single,11,P0089,king2068
2005-s4-single,2005-s4,single,12,P0005,x0_adnan_0x
2005-s4-single,2005-s4,single,13,P0091,kingmatt_87
2005-s4-single,2005-s4,single,14,P0094,ll_ivey_ll
2005-s4-single,2005-s4,single,15,P0136,sonia_oberoi2k5
2005-s4-single,2005-s4,single,16,P0077,unclejimjim69
2005-s4-single,2005-s4,single,17,P0076,jmunoz3rd
2005-s4-single,2005-s4,single,18,P0074,jammy_hure
2005-s4-single,2005-s4,single,19,P0105,mjong_babe
2005-s4-single,2005-s4,single,20,P0123,t_wolvesfan17
2005-s4-single,2005-s4,single,21,P0048,jewish_pool_playa
2005-s4-single,2005-s4,single,22,P0027,xlx_cerebro_xlx
2005-s4-single,2005-s4,single,23,P0124,Ron_pool
2005-s4-single,2005-s4,single,24,P0035,xchrisxsoccerx
2005-s4-single,2005-s4,single,25,P0073,xlx_britishpoolking_xlx
2005-s4-single,2005-s4,single,26,P0042,crypt6uardian
2005-s4-single,2005-s4,single,27,P0029,jabronni16
2005-s4-single,2005-s4,single,28,P0009,copenhagen8us
2005-s4-single,2005-s4,single,29,P0059,firewolf87
2005-s4-single,2005-s4,single,30,P0071,james15_
2005-s4-single,2005-s4,single,31,P0033,Mr_Big_C
2005-s4-single,2005-s4,single,32,P0002,lvl_i_g_h_t_y
2005-s4-single,2005-s4,single,33,P0034,lllvlllenace2society
2005-s4-single,2005-s4,single,34,P0010,HawkeyeStriker
2005-s4-single,2005-s4,single,35,P0133,scott123_
2005-s4-single,2005-s4,single,36,P0143,tanzania_pool
2005-s4-single,2005-s4,single,37,P0060,fuzion_hero
2005-s4-single,2005-s4,single,38,P0140,zl_stu_lz
2005-s4-single,2005-s4,single,39,P0054,pool_hustler_don21
2005-s4-single,2005-s4,single,40,P0051,diosmaradonaforever
2005-s4-single,2005-s4,single,41,P0017,RvDBLADE
2005-s4-single,2005-s4,single,42,P0111,rl_deceptive
2006-s1-A,2006-s1,A,1,P0257,chris.karen
2006-s1-A,2006-s1,A,2,P0060,fuzion_hero
2006-s1-A,2006-s1,A,3,P0330,pool_hustler21
2006-s1-A,2006-s1,A,4,P0243,carlos_19_
2006-s1-A,2006-s1,A,5,P0362,MasterBlaster_
2006-s1-A,2006-s1,A,6,P0325,scien.tist
2006-s1-A,2006-s1,A,7,P0140,zl_stu_lz
2006-s1-A,2006-s1,A,8,P0238,c_hick.magnet
2006-s1-A,2006-s1,A,9,P0478,real_creampuff
2006-s1-A,2006-s1,A,10,P0332,dont
2006-s1-A,2006-s1,A,11,P0053,DJTipper
2006-s1-A,2006-s1,A,12,P0094,ll_ivey_ll
2006-s1-A,2006-s1,A,13,P0444,king_hustler2006
2006-s1-A,2006-s1,A,14,P0410,oxxjoexxo
2006-s1-A,2006-s1,A,15,P0024,british_pool_wizard
2006-s1-A,2006-s1,A,16,P0297,cue.ball
2006-s1-A,2006-s1,A,17,P0258,chris.dogg
2006-s1-A,2006-s1,A,18,P0476,lord.scott
2006-s1-A,2006-s1,A,19,P0062,nolimitgary
2006-s1-A,2006-s1,A,20,P0334,dr.skillz
2006-s1-A,2006-s1,A,21,P0545,skill_1st
2006-s1-A,2006-s1,A,22,P0569,sportsman.ship
2006-s1-A,2006-s1,A,23,P0316,kingof.8ball
2006-s1-A,2006-s1,A,24,P0490,masters_reborn
2006-s1-A,2006-s1,A,25,P0349,fire_wolf87
