season_id,year,period,era,year_inferred
2005-s1,2005,1,static,False
2005-s2,2005,2,static,False
2005-s3,2005,3,static,False
2005-s4,2005,4,static,False
2006-s1,2006,1,static,False
2006-s2,2006,2,static,False
2006-s3,2006,3,static,False
2006-s4,2006,4,static,False
2006-s5,2006,5,static,False
2006-s6,2006,6,static,False
2006-s7,2006,7,static,False
2007-s1,2007,1,static,False
2007-s2,2007,2,static,False
2007-s3,2007,3,static,False
2007-s4,2007,4,static,False
2007-s5,2007,5,static,False
2007-s6,2007,6,static,False
2008-s1,2008,1,static,False
2008-s2,2008,2,static,False
2008-s3,2008,3,static,False
2008-s4,2008,4,static,False
2008-s5,2008,5,static,False
2009-s1,2009,1,static,False
2009-s2,2009,2,static,False
2009-s3,2009,3,static,False
2009-s4,2009,4,static,False
2009-s5,2009,5,static,False
2009-s6,2009,6,static,False
2010-s1,2010,1,static,False
2010-s2,2010,2,static,False
2010-s3,2010,3,static,False
2010-s4,2010,4,static,False
2011-s1,2011,1,static,False
2011-s2,2011,2,static,False
2011-s3,2011,3,static,False
2011-s4,2011,4,static,False
2011-s5,2011,5,static,False
2012-s1,2012,1,folder,False
2012-s2,2012,2,folder,False
2012-s3,2012,3,folder,False
2012-s4,2012,4,folder,False
2012-s5,2012,5,folder,False
2013-s1,2013,1,folder,False
2013-s2,2013,2,folder,False
2013-s3,2013,3,folder,False
2013-s4,2013,4,folder,False
2013-s5,2013,5,folder,False
2014-s1,2014,1,current,True
