# 8BRCAM Season 1 — Challonge FINAL STAGE bracket
# Source: https://challonge.com/rsy8er0  (SVG .match nodes: data-identifier, seed, score)
# Extracted 2026-08-29. 37 matches, identifiers 1-38 (13 absent), 20 seeded entrants, all complete.
# Format: identifier | complete | playerA(seed)=score vs playerB(seed)=score
1|C|mynameiseskimo(16)=7 vs fsm_brian(17)=5
2|C|jabronni16(13)=7 vs o_aig_o(20)=0
3|C|_Tarantula_69(15)=2 vs Faisal(18)=7
4|C|Mr.Gaz(14)=9 vs Black_Jesus(19)=7
5|C|JC(8)=4 vs leighjohn__(9)=7
6|C|l_Mr_CC_l(5)=7 vs Adambuddy(12)=0
7|C|Iantunstall(7)=7 vs Ogges(10)=4
8|C|S_U_K_I_O_O(6)=7 vs 💎 (Derrick)(11)=5
9|C|sixohtwo(1)=7 vs mynameiseskimo(16)=3
10|C|neo(4)=7 vs jabronni16(13)=1
11|C|Easyrun(2)=7 vs Faisal(18)=2
12|C|Travis(3)=7 vs Mr.Gaz(14)=0
14|C|Adambuddy(12)=0 vs _Tarantula_69(15)=7
15|C|Ogges(10)=7 vs o_aig_o(20)=0
16|C|💎 (Derrick)(11)=7 vs fsm_brian(17)=3
17|C|mynameiseskimo(16)=8 vs JC(8)=6
18|C|jabronni16(13)=7 vs _Tarantula_69(15)=4
19|C|Faisal(18)=9 vs Ogges(10)=7
20|C|Mr.Gaz(14)=0 vs 💎 (Derrick)(11)=7
21|C|sixohtwo(1)=9 vs leighjohn__(9)=7
22|C|neo(4)=6 vs l_Mr_CC_l(5)=8
23|C|Easyrun(2)=10 vs Iantunstall(7)=8
24|C|Travis(3)=7 vs S_U_K_I_O_O(6)=3
25|C|leighjohn__(9)=7 vs Faisal(18)=3
26|C|neo(4)=0 vs 💎 (Derrick)(11)=7
27|C|Iantunstall(7)=0 vs mynameiseskimo(16)=7
28|C|S_U_K_I_O_O(6)=7 vs jabronni16(13)=0
29|C|💎 (Derrick)(11)=5 vs leighjohn__(9)=7
30|C|S_U_K_I_O_O(6)=7 vs mynameiseskimo(16)=0
31|C|sixohtwo(1)=9 vs l_Mr_CC_l(5)=3
32|C|Easyrun(2)=9 vs Travis(3)=4
33|C|l_Mr_CC_l(5)=9 vs S_U_K_I_O_O(6)=4
34|C|Travis(3)=9 vs leighjohn__(9)=7
35|C|Travis(3)=10 vs l_Mr_CC_l(5)=8
36|C|sixohtwo(1)=10 vs Easyrun(2)=8
37|C|Easyrun(2)=5 vs Travis(3)=9
38|C|sixohtwo(1)=9 vs Travis(3)=1

# DERIVED STRUCTURE (32-slot double elimination, 20 entrants, 12 byes to seeds 1-12)
# WB R1  : 1,2,3,4            (seeds 13-20; seeds 1-12 bye)
# WB R2  : 5,6,7,8,9,10,11,12
# WB R3  : 21,22,23,24
# WB SF  : 31,32
# WB F   : 36
# LB     : 14,15,16,17,18,19,20,25,26,27,28,29,30,33,34,35
# LB F   : 37
# GF     : 38  -> sixohtwo (WB) beat Travis (LB) 9-1. NO bracket reset was played.
