cueverse_id,player_id,account_id,preferred_name,seasons_in_archive,first_season,last_season,status
r_o_b_b_i_n_z,cmt4i7sws000l6r8g1oot5zgr,4938,Todd,1,2008 S2A,2008 S2A,active
dansrebos,cmt4icjiz001a6r8g7klcw5e9,4939,Danny,1,2008 S1A,2008 S1A,active
l_croz_l,cmt4icyy3001b6r8gfu2ga15j,4940,Steven,2,2008 S1A,2008 S2B,active
straightup.murked,cmt4id6i0001c6r8g6mwc6yv6,4941,Roy,1,2008 S1A,2008 S1A,active
million_pound_shot,cmt4idgu9001e6r8gq6j68b6n,4943,Paul,1,2008 S1A,2008 S1A,active
bluegrass_prince,cmt4ie63d001f6r8gbnfzzllt,4944,Kevin,1,2008 S1A,2008 S1A,active
optimus.price_xl,cmt4igqjq001r6r8gl65t25f8,4946,Jesus,8,2008 S1A,2012 S4A,active
xl_coolpool_xl,cmt4iigwx00226r8gbzvoz2mk,4947,xl_coolpool_xl,1,2008 S1A,2008 S1A,active
ll_gonzy_ll,cmt4iinqn00236r8gq8o0t7qe,4948,Gonza,7,2008 S1A,2009 S3A,active
incognit0.player,cmt4il8fc00246r8go9fjtlf5,4949,incognit0.player,3,2008 S1A,2008 S3B,active
incognit0.player2,cmt4im7ic00256r8gjnf8s4qj,4950,incognit0.player2,0,,,active
lgt,cmt4iw02p00266r8g3vm4nyuc,4951,Joey,1,2008 S2A,2008 S2A,active
devilstature,cmt4ixp1h002f6r8g09plw40l,4957,Roger,15,2006 S5B,2012 S5B,active
m_a_r_k_y_s,cmt4ixw0o002g6r8g2d3j9bu6,4958,m_a_r_k_y_s,1,2008 S2A,2008 S2A,active
the.unique,cmt4iy8e2002h6r8gulcaksx6,4959,Waqas,5,2008 S2A,2009 S4A,active
death.bringers,cmt4izm04002o6r8gr2075n19,4962,RyRy,9,2006 S7B,2008 S2A,active
wizard22_,cmt4j073h002r6r8gc3i5gx9d,4963,Hartley,3,2006 S6B,2008 S2A,active
killah_jason,cmt4j2uz900306r8g5wr010eq,4964,Jason,8,2008 S2A,2011 S2A,active
p00l_charlie,cmt4j30bd00316r8g2mt1ol3s,4965,PC,8,2008 S2A,2012 S5A,active
midwestern_pool_champ,cmt4j3ffn00326r8grwvqme2w,4966,Josh,7,2006 S7B,2013 S2A,active
thepitzaboy,cmt4j3mmy00336r8gvqte4npb,4967,Rahul,3,2007 S6B,2008 S3B,active
,cmt4rsw8p00006rhk4ypsmwdm,,mj_the_king,0,,,merged
zach_23_,cmt4rswbi00016rhk16587sup,5140,zach_23_,5,2009 S2A,2009 S6A,active
worst_player_yet,cmt4rswe600026rhklqskzr1v,5141,worst_player_yet,5,2008 S4A,2010 S3A,active
,cmt4rswgm00036rhkajjrv059,,ll_ketan_ll,0,,,merged
,cmt4rswiz00046rhkyo1vypry,,i.am_the_zodiac,0,,,merged
MUSTANG9082,cmt4rswlc00056rhki9wq44np,5144,MUSTANG9082,1,2009 S5A,2009 S5A,active
mvp_realm,cmt4rswnm00066rhkvxp5z9m7,5145,mvp_realm,1,2009 S5A,2009 S5A,active
drill__,cmt4rswpw00076rhkk5f1s2f3,5146,drill__,3,2008 S3A,2009 S6A,active
,cmt4rsws700086rhkvfpoad1t,,xxl_machine_lxx,0,,,merged
sergio_zarate_7,cmt4rswuj00096rhk82t0z7xr,5148,sergio_zarate_7,28,2007 S1B,2014 S1A,active
,cmt4rswwv000a6rhk6khpkm98,,x_therage,0,,,merged
Powers_Seduction,cmt4rswz5000b6rhkortjwbae,5150,Powers_Seduction,2,2009 S5A,2009 S6A,active
mr.pakiz_rules,cmt4rsx1i000c6rhkb9ti86jg,5151,mr.pakiz_rules,2,2009 S5A,2011 S5B,active
unreal_control,cmt4rsx3z000d6rhkw9m9hpli,5152,unreal_control,6,2008 S3A,2009 S5A,active
_brimstone_,cmt4rsx6i000e6rhkaec7c5z2,5153,_brimstone_,3,2009 S5A,2010 S4A,active
,cmt4rsx8x000f6rhkwg9u5flm,,luisj_barreto,0,,,merged
adambuddy,cmt4rsxbp000g6rhkxk031nye,5155,Adam,19,2008 S5A,2013 S4A,active
x_real.deal_x,cmt4rsxeg000h6rhkun9r96tg,5156,x_real.deal_x,1,2009 S5A,2009 S5A,active
l2ude_l3oyy,cmt4v9xav00006rik5sytm9qy,5157,l2ude_l3oyy,3,2006 S3A,2006 S5A,active
sicc.hustler,cmt4v9xe000016rikrh196meq,5158,sicc.hustler,4,2006 S2B,2006 S4A,active
oreo_man_jeremy,cmt4v9xgl00026rike8otn9fq,5159,oreo_man_jeremy,2,2006 S3A,2006 S3B,active
sir.nubby,cmt4v9xj700036rikjhlm2kkf,5160,sir.nubby,2,2006 S3A,2006 S3B,active
x_latinkiing_x,cmt4v9xlu00046riknk7c5bm0,5161,x_latinkiing_x,2,2006 S3A,2006 S3B,active
new.bies,cmt4v9xoh00056rikkq9kpfjs,5162,new.bies,4,2006 S2A,2006 S7A,active
bigbadpanther_tvhs,cmt4v9xr000066rikssbyfj5d,5163,bigbadpanther_tvhs,2,2006 S3A,2006 S3B,active
lxl_jerm_is_evil_lxl,cmt4v9xti00076rikufrruc5n,5164,lxl_jerm_is_evil_lxl,4,2006 S3A,2006 S7A,active
goobers.return,cmt4v9xvw00086riko6y7nrnm,5165,goobers.return,2,2006 S3A,2006 S3B,active
xlx_aka_maniac_xlx,cmt4v9xya00096rikkdriti0j,5166,xlx_aka_maniac_xlx,2,2006 S3A,2006 S3B,active
kingmatt_87,cmt4v9y0s000a6rikjaz7u5kg,5167,kingmatt_87,3,2006 S3A,2006 S5A,active
ta.lent,cmt4v9y3a000b6rikk5p0l0yj,5168,ta.lent,12,2006 S3A,2009 S5A,active
sc0t_,cmt4v9y5s000c6rik8ysupah8,5169,sc0t_,3,2006 S3A,2006 S4A,active
mr.pommy,cmt4v9y86000d6riktusa6nx1,5170,mr.pommy,3,2006 S3A,2010 S3A,active
chokshi.krunal,cmt4v9yar000e6rik9ml1fic0,5171,chokshi.krunal,5,2006 S2A,2009 S3A,active
tubaccy_spittin_rebel,cmt4v9ydk000f6rikgzm9psvn,5172,tubaccy_spittin_rebel,17,2006 S2B,2011 S5A,active
dp_simba_arjun,cmt4v9ygb000g6rik1hdhvsqs,5173,dp_simba_arjun,7,2006 S2B,2006 S7A,active
poker_hustler21,cmt4v9yj3000h6rikgezyw1a0,5174,poker_hustler21,4,2006 S2A,2006 S4A,active
maradona.the_man,cmt4v9ylt000i6rik1y6obatv,5175,maradona.the_man,2,2006 S3A,2006 S3B,active
zlz_s_p_g_zlz,cmt4v9yob000j6rikgr7hxxsz,5176,zlz_s_p_g_zlz,2,2006 S3A,2006 S3B,active
mz_corey_ez8,cmt4v9yqs000k6rikehicuu1k,5177,mz_corey_ez8,2,2006 S3A,2006 S3B,active
xll_irish_god_llx,cmt4v9yt9000l6rikfiw4zzq6,5178,xll_irish_god_llx,2,2006 S3A,2006 S3B,active
drummer_dude,cmt4v9yvu000m6rik4qg5harn,5179,drummer_dude,2,2006 S3A,2006 S3B,active
_korn_69_,cmt4v9yya000n6rikmqwstjba,5180,_korn_69_,2,2006 S3A,2006 S3B,active
my_key,cmt4v9z0t000o6rikofj2qza9,5181,my_key,4,2006 S1B,2006 S3B,active
nakash_qamar,cmt4v9z3r000p6rikhfyh2fpi,5182,nakash_qamar,4,2006 S3A,2006 S5B,active
ket.an,cmt4v9z6n000q6rikd95lmiy1,5183,ket.an,5,2006 S3A,2006 S7A,active
